,ra,dec,ids,bands
262,263.0651873258273,-18.37141265684832,2025062900370,z
263,259.73683560594856,-18.740365660311618,2025062900371,z
264,258.0461736874871,-16.43799801405506,2025062900372,z
265,256.4043163791097,-14.107687958489612,2025062900373,z
266,253.19186975236985,-14.436291014041315,2025062900374,z
267,248.45304864109073,-12.336437250414948,2025062900375,z
268,245.26334371036924,-12.575181000882646,2025062900376,z
269,240.6011305779966,-10.334015853855055,2025062900377,z
270,242.06026459706902,-12.762057645105415,2025062900378,z
271,272.24249803972197,-24.95800544175616,2025062900379,i
272,274.3270825867678,-27.36279384060548,2025062900380,i
273,272.83043557952084,-29.783707604313022,2025062900381,i
274,271.2605182878328,-32.189400582778845,2025062900382,i
275,274.98429083401913,-32.32358613651262,2025062900383,i
276,278.6997979514889,-32.3861304784559,2025062900384,i
277,276.4644625935173,-29.87889075239112,2025062900385,i
278,277.8757651505188,-27.414254482710085,2025062900386,i
279,275.75940575794186,-24.918721973713044,2025062900387,i
280,274.4768494440076,-15.129599629131269,2025062900391,i
281,273.1138586040141,-17.6416319783869,2025062900392,i
282,273.69774726978204,-22.49974740834933,2025062900394,i
283,279.22989851380095,-24.927780645618718,2025062900396,r
284,275.09618843149804,-20.02510060831789,2025062900389,i
285,276.4441105398391,-17.529772708204582,2025062900390,i
286,271.6986955962704,-20.138383211558494,2025062900393,i
287,277.1359184666043,-22.45004352694271,2025062900395,r
288,282.26236982649385,-32.501555576889004,2025062900398,r
289,281.40811722465116,-27.39389661531148,2025062900399,r
290,280.08450852316935,-29.89925625084215,2025062900397,r
291,282.68299039460794,-24.869350735493274,2025062900400,r
292,280.53519111926994,-22.419381135883345,2025062900401,r
293,279.74900226380055,-17.440796334640655,2025062900408,i
294,243.53451792438756,-15.195423080413763,2025062900409,i
295,283.91790914312656,-22.326219794911832,2025062900411,i
296,285.40328629582774,-12.200737984061423,2025062900412,i
297,284.2288494609724,-14.777071864540892,2025062900413,i
298,283.0291597884996,-17.341538127682522,2025062900414,i
299,281.7995429948915,-19.889994926687365,2025062900415,i
300,280.99641015305775,-14.903720770076015,2025062900404,r
301,279.00699736388447,-12.475014452194007,2025062900405,r
302,277.74646580050876,-15.01273356876202,2025062900406,r
303,278.4637938360987,-19.95699893937861,2025062900407,r
304,286.29607487916917,-17.19161665661107,2025062900416,g
305,285.12001856264635,-19.76607364548005,2025062900417,g
306,283.91781162632986,-22.326221608742273,2025062900418,g
307,288.4056250246116,-19.613322674634112,2025062900430,g
308,289.5379901630731,-17.00883411217951,2025062900431,g
309,290.65829910976885,-14.400247611873143,2025062900432,g
310,287.4513661963471,-14.60667857849915,2025062900433,g
311,293.85149669006813,-14.144266058805751,2025062900434,r
312,284.8637199621614,-27.37210922909959,2025062900422,g
313,287.02795199396695,-29.957185683611765,2025062900423,g
314,290.39693067215325,-29.921758481992562,2025062900424,g
315,288.2486577183655,-27.32445585399423,2025062900425,g
316,286.07742035942005,-24.796460067198115,2025062900426,g
317,289.41554248182825,-24.692449222775373,2025062900427,g
318,290.54717176681174,-22.057760963422435,2025062900428,g
319,287.25491660149004,-22.209926466281402,2025062900429,g
320,299.18175018437483,-24.007607321218764,2025062900458,i
321,246.7593655464127,-14.989457565865319,2025062900460,g
322,241.77222282203206,-17.80078349533948,2025062900461,g
323,238.51283989080247,-17.893186919082854,2025062900463,g
324,238.16316931757012,-23.009037063862507,2025062900466,g
325,239.6464605786087,-25.57682858958266,2025062900467,g
326,236.32608184658596,-25.628035942799006,2025062900468,g
327,234.46969924636971,-28.26046234573471,2025062900469,g
328,237.8149589690037,-28.258694545711403,2025062900470,g
329,241.16552806428308,-28.14717212379273,2025062900471,g
330,239.3545230132921,-30.892869191342943,2025062900472,g
331,242.74195499809613,-30.71829360564891,2025062900473,g
332,246.13312858203338,-30.4448792774813,2025062900474,g
333,244.5233164371309,-27.938291175855078,2025062900475,g
334,242.97329506491002,-25.427696352377165,2025062900476,g
335,247.89450502931248,-27.646267529505987,2025062900477,g
336,294.9472743930462,-11.512616928316465,2025062900435,r
337,292.75656131162174,-16.781274310150668,2025062900437,r
338,291.6575828419911,-19.420214166460397,2025062900438,r
339,292.7070203760346,-24.53694449407012,2025062900439,r
340,291.57966587730004,-27.225571023914082,2025062900440,r
341,293.72641368685,-29.811510000418306,2025062900441,r
342,295.85387124935136,-32.43567097703334,2025062900443,r
343,295.9605261694073,-24.31324837573819,2025062900445,r
344,293.8020096071754,-21.852184676338666,2025062900446,r
345,298.0786286482854,-18.849774217247646,2025062900449,i
346,299.13547057485323,-16.129613651569677,2025062900450,i
347,297.0329583545781,-13.822499835131495,2025062900452,i
348,291.7712116549633,-11.791984130438532,2025062900453,i
349,297.02464567761524,-21.57777282724625,2025062900454,i
350,292.4986527047175,-32.581221609725986,2025062900442,r
351,294.8692364454001,-27.056918813931972,2025062900444,r
352,294.88090147320173,-19.17062143896545,2025062900447,r
353,295.9552851107585,-16.493431366737685,2025062900448,r
354,298.12612701934864,-26.80438098492198,2025062900455,i
355,300.30274118580826,-29.316662352856714,2025062900457,i
356,300.2181290762846,-21.220842245806484,2025062900459,i
357,240.30040800864174,-15.335353914278155,2025062900462,g
358,239.98009836135483,-20.40215847818373,2025062900464,g
359,241.463598647067,-22.914637250968774,2025062900465,g
360,297.0271244573313,-29.6129434609578,2025062900456,i
361,9.58546299190888,-43.92924855462716,2025062900651,u
362,9.585463065119162,-43.92924816505089,2025062900652,u
363,9.585455255585636,-43.92924866230231,2025062900653,u
364,9.585472806383141,-43.929249259506655,2025062900654,u
365,9.585538683938735,-43.92924842375027,2025062900655,u
366,9.585433720512494,-43.929247997762225,2025062900656,u
367,9.585714743550733,-43.9292492017516,2025062900657,g
368,9.585606662005851,-43.929249240766275,2025062900659,g
369,9.585433649405775,-43.92925037654236,2025062900660,g
370,9.585665683230342,-43.92925074736004,2025062900661,g
371,9.585537411347785,-43.929248832002116,2025062900662,i
372,9.585392289547126,-43.929265727658965,2025062900663,i
373,9.585638253650908,-43.92924907503507,2025062900664,i
374,9.585632225575035,-43.929248727043266,2025062900665,i
375,339.2220758423288,-20.56901538022018,2025062900666,r
376,9.46812857619457,-43.8569679168461,2025063000518,r
377,9.467765552085165,-43.856967079733536,2025063000519,r
378,9.467924080963416,-43.85696705331297,2025063000520,r
379,9.467994822196031,-43.85696693528652,2025063000521,r
380,9.467797741744743,-43.85696618751216,2025063000522,r
381,9.467707750025445,-43.85696840011329,2025063000523,z
382,9.467720447461005,-43.856965168091705,2025063000524,z
383,9.467663206165492,-43.85696532259795,2025063000525,z
384,9.467853836905858,-43.856966060764904,2025063000526,z
385,9.467729045332483,-43.856965354810015,2025063000527,z
386,349.3017384731056,-14.014204584829276,2025063000528,r
387,347.537267810236,-11.8013626308336,2025063000529,r
388,348.97338399594713,-9.09375056273514,2025063000530,r
389,347.2391957500388,-6.838604985330116,2025063000531,r
390,345.5379753590889,-4.560473011087197,2025063000532,r
391,340.9870528708954,-7.7764359413163575,2025063000533,r
392,342.43793133402954,-5.0192541347063,2025063000534,r
393,342.224793375352,0.05614940446547815,2025063000535,r
394,340.79351086562235,-2.7199696077081468,2025063000536,r
395,336.1022120095138,-0.8701810977986354,2025063000537,r
396,336.2344553730445,-5.933486756549462,2025063000538,r
397,334.74288707366577,-8.682723823089896,2025063000539,r
398,333.12308708305153,-6.367210717373531,2025063000540,r
399,334.61641679228717,-3.622370288688871,2025063000541,r
400,333.0101577829742,-1.3136173603699646,2025063000542,r
401,331.5124341834117,-4.055464089176,2025063000543,r
402,329.9082610296158,-1.7521871582923434,2025063000544,r
403,328.38715961442796,-4.451385413052882,2025063000545,r
404,329.99815659195826,-6.768691163390488,2025063000546,r
405,331.6125932267664,-9.0948637212208,2025063000547,r
406,328.4696402121342,-9.460786223066043,2025063000548,r
407,326.85300808618865,-7.1164554424038675,2025063000549,r
408,325.23517389147395,-4.782765607489151,2025063000550,r
409,323.68620638398215,-7.387178470873593,2025063000551,r
410,322.05764063048235,-5.020995940700177,2025063000552,r
411,320.501720494295,-7.557539923364272,2025063000553,r
412,318.94873256623,-10.082805208951216,2025063000554,r
413,320.5856358505749,-12.55367463775277,2025063000555,r
414,322.13523933842407,-9.973335361821485,2025063000556,r
415,325.31070403924184,-9.760351247995121,2025063000569,r
416,317.4003489771668,-12.607867408077961,2025063000570,r
417,319.0393457614126,-15.137721245991331,2025063000571,r
418,322.2193275816169,-15.031808374825316,2025063000572,r
419,323.76478864271104,-12.395315509432452,2025063000573,r
420,326.9324820205322,-12.143377510941104,2025063000574,r
421,328.5549229828761,-14.535893716060325,2025063000575,r
422,330.0877207977101,-11.81422872632783,2025063000576,r
423,331.71043552852944,-14.17383295197553,2025063000577,r
424,333.23295718262546,-11.426184436534754,2025063000578,r
425,334.8634895112962,-13.757770314468894,2025063000579,r
426,338.02172770437244,-13.304431564904633,2025063000580,r
427,336.37492345683347,-10.997055634132623,2025063000581,r
428,339.5185164693529,-10.541366201870842,2025063000582,r
429,341.1906301703921,-12.827223477720942,2025063000583,r
430,350.74348795324426,-11.326701376723035,2025063000584,r
431,352.5532831018167,-13.541009591217016,2025063000585,r
432,353.97302873624335,-10.924014096698318,2025063000586,r
433,355.8298994420674,-13.171170597187349,2025063000587,r
434,357.2160324657494,-10.620077934958763,2025063000588,r
435,355.35943435965106,-8.330041917021964,2025063000589,r
436,352.1587055951795,-8.673989739384117,2025063000590,r
437,350.38371429389997,-6.410216844018723,2025063000591,r
438,353.5428550457639,-6.039378187529029,2025063000592,r
439,358.5661691792843,-8.073802515053151,2025063000593,r
440,356.71133419209457,-5.742486559448108,2025063000594,r
441,354.8930420518233,-3.4087120263713215,2025063000596,r
442,357.48397914704753,1.8800089516078289,2025063000597,r
443,352.6677810372979,4.044062805319944,2025063000598,r
444,353.11091050530905,-1.061164168054395,2025063000599,r
445,351.36440136390075,1.3067177777863193,2025063000600,r
446,351.76437825187463,-3.736659382255636,2025063000601,r
447,350.02222599945566,-1.414330470546277,2025063000602,r
448,348.6458307848522,-4.126248573243582,2025063000603,r
449,346.94196038180024,-1.8198552363055733,2025063000604,r
450,348.3145241663267,0.9303913053096102,2025063000605,r
451,346.63676788925204,3.297438648591453,2025063000606,r
452,345.27001186413804,0.508278381575633,2025063000607,r
453,343.86771857915534,-2.2610069585378407,2025063000608,r
454,343.62416646143583,2.8552946947487543,2025063000609,r
455,340.60455471416185,2.386777070346442,2025063000610,r
456,339.17207437852636,-0.4089326430540353,2025063000611,r
457,337.7120185181641,-3.178618753067846,2025063000612,r
458,339.3392268968665,-5.482572952506528,2025063000613,r
459,337.86771846560885,-8.241684495459282,2025063000614,r
460,308.0112061133467,-22.55093140391988,2025063000654,i
461,304.8176049976546,-22.22516665416895,2025063000657,i
